NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
Autohome ADS,ATHM,49.22,50.07,46.93,47.49,-2.06,-4.16,"868,247",51.98,26.00,...,...,51.74,29.79
Autoliv,ALV,102.53,103.80,102.25,103.54,1.03,1.00,"567,816",108.15,80.04,2.16,2.09,22.41,12.79
AutoNation,AN,54.32,54.62,53.99,54.48,-0.07,-0.13,"865,577",61.29,44.92,...,...,16.51,9.64
AutoZone,AZO,536.83,538.70,531.46,537.96,1.12,0.21,"175,153",561.62,408.90,...,...,17.17,12.56
Avalonbay Communities,AVB,153.61,155.62,152.91,155.02,0.97,0.63,"965,539",155.62,114.16,4.64,2.99,58.46,31.12
Avery Dennison,AVY,48.86,49.02,48.54,48.79,-0.31,-0.63,"462,804",52.24,42.01,1.40,2.87,21.26,-2.79
AVG Technologies,AVG,17.77,17.84,17.62,17.73,-0.07,-0.39,"254,927",26.56,15.19,...,...,19.09,3.02
Avianca Holdings ADS,AVH,16.33,16.33,16.02,16.14,-0.16,-0.98,"125,121",18.59,13.78,0.31,1.91,...,4.53
Avista,AVA,31.90,32.04,31.80,31.97,-0.04,-0.12,"327,359",33.60,25.55,1.27,3.97,9.97,13.41
Aviva PLC ADS,AV,17.16,17.21,17.12,17.15,-0.02,-0.12,"46,286",18.24,11.93,0.39,2.30,7.91,13.20
Aviv REIT,AVIV,28.25,28.49,28.06,28.49,0.22,0.78,"88,940",29.36,21.31,1.44,5.05,34.33,20.21
Avnet,AVT,43.73,44.30,43.62,44.23,0.50,1.14,"553,668",48.18,38.02,0.64,1.45,11.17,0.27
Avon Products,AVP,13.91,13.98,13.83,13.90,-0.07,-0.50,"2,581,338",22.86,12.80,0.24,1.73,...,-19.28
AVX,AVX,13.55,13.62,13.52,13.58,-0.01,-0.07,"137,643",14.19,12.57,0.38,2.80,16.36,-2.51
Axiall,AXLL,41.65,42.00,41.35,41.74,-0.03,-0.07,"693,141",50.61,36.31,0.64,1.53,26.25,-12.02
Axis Capital Holdings,AXS,46.59,47.33,46.57,46.92,0.22,0.47,"906,994",49.75,41.82,1.08,2.30,8.02,-1.37
AZZ Inc.,AZZ,46.60,46.60,46.08,46.21,-0.63,-1.35,"89,795",49.64,36.22,0.56,1.21,19.58,-5.42
Babcock&Wilcox,BWC,28.63,28.97,28.62,28.90,0.14,0.49,"624,976",36.00,27.52,0.40,1.38,10.74,-15.47
Badger Meter,BMI,52.46,52.72,51.95,52.43,-0.42,-0.79,"18,395",56.96,44.57,0.76,1.45,25.96,-3.80
Baker Hughes,BHI,68.72,69.34,68.34,69.26,0.44,0.64,"2,639,902",75.64,46.09,0.68,0.98,23.97,25.33
Ball,BLL,64.06,64.09,63.22,63.24,-0.83,-1.30,"708,062",64.91,43.94,0.52,0.82,18.38,22.42
Bally Technologies,BYI,77.56,77.96,77.50,77.70,0.80,1.04,"1,169,504",84.66,56.50,...,...,24.28,-0.96
Baltic Trading,BALT,5.84,5.93,5.69,5.78,-0.09,-1.53,"339,827",7.94,4.36,0.04,0.69,...,-10.25
Banco Bilbao Vizcaya Argentaria ADS,BBVA,11.76,11.84,11.74,11.79,-0.06,-0.51,"623,297",13.60,9.51,0.43,3.69,71.80,-4.84
Banco de Chile ADS,BCH,74.77,74.77,73.62,74.40,-0.09,-0.12,"27,444",93.98,68.73,3.70,4.97,11.20,-13.30
Banc of California,BANC,12.10,12.20,11.86,12.16,0.03,0.25,"193,972",14.75,9.70,0.48,3.95,...,-9.32
Banco Latinoamericano de Comercio Exterior Cl E,BLX,31.83,32.24,31.43,32.07,0.17,0.53,"256,154",32.24,23.80,1.40,4.37,13.59,14.45
BanColombia ADS,CIB,64.44,64.61,63.50,63.70,-0.63,-0.98,"330,970",66.78,42.77,1.65,2.59,15.12,29.95
Banco Macro ADS,BMA,35.40,35.40,33.56,34.63,-0.88,-2.48,"225,945",51.96,16.42,1.25,3.62,4.09,42.69
BancorpSouth,BXS,20.76,20.86,20.54,20.66,-0.17,-0.82,"704,614",26.24,18.93,0.30,1.45,17.66,-18.73
Banco Santander ADS,SAN,9.64,9.71,9.64,9.69,-0.04,-0.41,"2,804,710",10.75,7.07,...,...,16.75,6.84
Banco Santander Brasil ADS,BSBR,6.68,6.74,6.67,6.71,-0.02,-0.30,"2,732,735",7.29,4.48,0.19,2.85,...,10.00
Banco Santander-Chile ADS,BSAC,24.47,24.65,24.22,24.46,-0.06,-0.24,"701,764",27.36,19.13,0.99,4.06,10.73,3.78
Bank of America,BAC,15.41,15.63,15.37,15.52,0.07,0.45,"57,267,263",18.03,13.60,0.20,1.29,23.88,-0.32
Bank of America Cl A WT,BAC%A,6.84,6.90,6.74,6.90,0.05,0.73,"126,423",8.73,5.64,...,...,...,6.65
Bank of America Cl B WT,BAC%B,0.75,0.77,0.75,0.76,0.01,1.33,"22,454",0.98,0.66,...,...,...,-1.30
Bank of Hawaii,BOH,57.92,58.07,57.62,57.89,-0.07,-0.12,"138,319",61.73,50.51,1.80,3.11,16.35,-2.11
Bank of Montreal,BMO,74.39,74.43,73.97,74.30,0.02,0.03,"288,880",76.72,60.34,2.87,3.86,11.43,11.46
Bank of New York Mellon,BK,38.53,38.87,38.44,38.78,0.19,0.49,"2,007,862",40.05,29.52,0.68,1.75,16.72,10.99
Bank of Nova Scotia,BNS,66.69,67.11,66.64,66.96,0.09,0.13,"290,940",68.71,53.94,2.35,3.50,12.35,7.05
Bankrate,RATE,15.13,15.30,15.06,15.09,-0.12,-0.79,"470,018",23.14,13.45,...,...,...,-15.89
BankUnited,BKU,30.87,31.06,30.80,30.91,0.01,0.03,"208,897",35.65,29.26,0.84,2.72,15.38,-6.11
Barclays ADS,BCS,14.69,14.81,14.69,14.81,-0.03,-0.20,"1,486,130",19.69,13.96,0.27,1.83,33.04,-18.31
Barnes Group,B,34.81,34.97,34.52,34.79,-0.24,-0.69,"261,520",40.92,31.22,0.44,1.26,18.86,-9.19
Barnes&Noble,BKS,23.06,23.15,22.28,22.72,-0.36,-1.56,"596,169",23.56,12.59,...,...,...,51.97
Barracuda Networks,CUDA,26.63,26.63,25.92,26.23,-0.44,-1.65,"90,969",44.40,18.63,...,...,...,-33.90
Barrick Gold,ABX,18.80,18.83,18.59,18.72,-0.11,-0.58,"5,855,367",21.45,15.26,0.20,1.07,...,6.18
Basic Energy Services,BAS,23.99,23.99,22.98,23.42,-0.59,-2.46,"1,962,884",29.84,11.27,...,...,...,48.42
Baxter International,BAX,75.13,75.41,74.70,75.25,0.12,0.16,"1,393,578",77.31,62.80,2.08,2.76,21.02,8.20
Baytex Energy,BTE,42.22,42.60,41.89,42.55,0.45,1.07,"243,732",46.46,35.30,2.64,6.20,26.61,8.66
BB&T,BBT,36.61,36.89,36.55,36.79,0.05,0.14,"1,975,181",41.04,32.65,0.96,2.61,15.14,-1.42
