NYSE Stock Exchange
"Wednesday, August 20, 2014 5:32 PM"

Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
CNA Financial,CNA,38.11,38.31,37.82,38.25,0.15,0.39,"52,177",43.65,35.05,1.00,2.61,13.33,-10.82
CNH Industrial,CNHI,8.74,8.78,8.70,8.74,-0.04,-0.46,"461,554",13.29,8.31,0.27,3.14,11.60,-23.00
CNO Financial Group,CNO,17.38,17.58,17.30,17.46,0.02,0.11,"1,344,030",19.34,13.57,0.24,1.37,16.17,-1.30
CNOOC ADS,CEO,195.11,196.25,194.82,195.89,-2.35,-1.19,"133,776",211.49,147.24,8.26,4.21,9.59,4.39
Coach Inc.,COH,36.43,37.02,36.35,36.90,0.46,1.26,"3,382,038",57.95,33.39,1.35,3.66,13.18,-34.26
Cobalt International Energy,CIE,14.71,14.80,14.48,14.78,0.03,0.20,"1,779,145",26.32,13.54,...,...,...,-10.15
Coca-Cola,KO,41.15,41.34,41.09,41.25,-0.01,-0.02,"6,753,063",42.57,36.83,1.22,2.96,21.71,-0.15
Coca-Cola Enterprises,CCE,48.27,48.50,47.62,47.69,-0.64,-1.32,"1,446,528",50.00,36.58,1.00,2.10,16.67,8.07
Coca-Cola Femsa ADS,KOF,110.53,111.00,109.01,109.96,-0.87,-0.78,"98,375",140.99,92.64,1.11,1.01,26.65,-9.70
Coeur Mining,CDE,8.17,8.26,8.10,8.14,-0.02,-0.25,"672,629",16.95,6.62,...,...,...,-24.98
Cohen&Steers,CNS,43.29,43.73,42.83,43.22,-0.12,-0.28,"85,915",45.02,31.11,0.88,2.04,24.28,7.89
Colfax,CFX,64.75,65.42,64.72,65.17,0.22,0.34,"284,061",75.37,51.70,...,...,25.36,2.32
Colgate-Palmolive,CL,64.42,64.81,64.24,64.67,0.41,0.64,"2,774,359",70.11,56.94,1.44,2.23,26.72,-0.83
Colony Financial,CLNY,22.20,22.27,22.08,22.23,...,...,"439,393",23.51,19.36,1.44,6.48,18.37,9.56
Columbia Property Trust,CXP,25.50,25.68,25.36,25.63,0.02,0.08,"646,326",29.59,21.76,1.20,4.68,111.63,2.52
Comerica,CMA,49.25,49.77,49.22,49.66,0.21,0.42,"670,402",53.50,38.56,0.80,1.61,16.39,4.46
Comerica Wt,CMA%,20.32,20.32,20.32,20.32,0.10,0.49,"5,000",23.95,13.25,...,...,...,6.67
Comfort Systems USA,FIX,14.96,15.13,14.81,14.89,-0.07,-0.47,"107,481",20.95,13.28,0.22,1.48,25.24,-23.21
Commercial Metals,CMC,17.67,17.67,17.30,17.41,-0.29,-1.64,"624,909",21.20,14.67,0.48,2.76,24.52,-14.36
Community Bank System,CBU,35.40,35.40,34.94,35.16,-0.32,-0.90,"71,667",40.64,32.85,1.20,3.41,17.07,-11.39
Community Health Systems,CYH,51.07,51.85,50.60,51.48,0.08,0.16,"1,323,661",51.86,34.55,...,...,...,31.09
Companhia Brasileira de Distribuicao Grupo Pao de Acucar ADS,CBD,49.99,50.25,49.67,49.81,-0.26,-0.52,"280,481",51.99,37.83,...,...,23.54,11.51
Companhia de Saneamento Basico do Estado de Sao Paulo ADS,SBS,9.24,9.30,8.90,8.95,-0.13,-1.43,"3,073,484",11.50,8.16,0.36,3.98,7.29,-21.08
Companhia Energetica de Minas Gerais-Cemig ADS,CIG,8.56,8.76,8.55,8.68,0.11,1.28,"5,779,651",9.02,5.23,0.80,9.27,7.90,45.71
Companhia Energetica de Minas Gerais-Cemig ADS,CIGC,8.78,8.78,8.78,8.78,0.14,1.62,"146",9.38,5.37,0.80,9.17,...,7.07
Companhia Paranaense de Energia-COPEL ADS,ELP,16.15,16.89,16.11,16.88,0.69,4.26,"651,410",17.48,9.81,...,...,8.63,28.46
Companhia Siderurgica Nacional ADS,SID,4.76,4.79,4.68,4.74,...,...,"2,069,576",6.29,3.51,0.06,1.30,239.39,-23.55
Compania Cervecerias Unidas ADS,CCU,22.05,22.25,21.99,22.10,...,...,"42,351",28.98,20.46,0.74,3.37,16.02,-8.34
Compania de Minas Buenaventura ADS,BVN,13.14,13.35,13.08,13.23,0.07,0.53,"1,034,949",14.99,9.75,0.02,0.17,...,17.91
Compass Diversified Holdings,CODI,17.57,17.89,17.57,17.86,0.27,1.53,"75,043",19.84,16.20,1.44,8.06,11.31,-9.02
Compass Minerals International,CMP,88.42,88.87,88.26,88.69,0.01,0.01,"142,865",97.50,70.54,2.40,2.71,24.23,10.79
Computer Sciences,CSC,59.88,60.17,59.66,60.00,0.16,0.27,"630,950",65.52,46.80,0.92,1.53,14.62,7.37
Comstock Resources,CRK,24.04,24.30,23.65,24.18,-0.04,-0.17,"729,100",29.49,14.21,0.50,2.07,...,32.20
ConAgra Foods,CAG,31.86,32.12,31.80,32.02,0.13,0.41,"2,100,852",35.15,28.09,1.00,3.12,47.61,-4.99
Concho Resources,CXO,127.91,130.41,126.95,130.30,2.09,1.63,"827,151",148.61,91.78,...,...,57.15,20.65
Concord Medical Services Holdings ADS,CCM,7.80,7.95,7.73,7.95,0.17,2.19,"36,800",10.08,4.06,...,...,22.07,45.07
ConocoPhillips,COP,80.19,80.60,79.77,80.50,0.59,0.74,"4,292,033",87.09,62.74,2.92,3.63,10.85,13.94
Consol Energy,CNX,39.79,39.85,39.31,39.73,-0.10,-0.25,"1,240,007",48.30,31.07,0.25,0.63,11.90,4.44
Consolidated Edison,ED,57.49,57.53,57.10,57.51,0.13,0.23,"1,389,711",59.24,52.23,2.52,4.38,13.69,4.03
Constellation Brands Cl A,STZ,87.66,88.00,87.33,87.63,-0.32,-0.36,"529,703",94.77,53.12,...,...,7.89,24.51
Constellation Brands Cl B,STZB,88.00,88.00,87.72,87.72,0.52,0.60,"203",94.02,53.45,...,...,7.90,25.35
Constellium Cl A,CSTM,28.84,29.16,28.74,28.88,-0.17,-0.59,"393,698",32.61,16.60,...,...,16.97,24.11
Container Store Group,TCS,21.25,22.62,21.25,22.51,1.05,4.89,"329,354",47.07,20.32,...,...,...,-51.71
Continental Building Products,CBPX,14.76,15.29,14.53,15.25,0.40,2.69,"98,487",20.51,12.58,...,...,...,0.39
Continental Resources,CLR,147.81,148.60,145.93,148.52,0.53,0.36,"483,613",159.24,91.28,...,...,43.43,31.99
Controladora Vuela Compania de Aviacion ADS,VLRS,9.10,9.13,8.93,9.04,-0.11,-1.20,"30,925",15.94,6.82,...,...,...,-33.28
Convergys,CVG,18.59,18.83,18.42,18.67,0.07,0.38,"560,952",24.43,17.16,0.28,1.50,44.24,-11.31
Con-way,CNW,51.34,51.47,50.68,50.93,-0.54,-1.05,"578,739",52.00,36.34,0.60,1.18,26.53,28.25
Cooper,COO,161.16,162.37,160.18,161.83,-0.02,-0.01,"463,753",163.57,116.95,0.06,0.04,26.31,30.68
Cooper-Standard Holdings,CPS,65.79,66.07,64.58,65.12,-0.75,-1.14,"11,490",71.11,46.00,...,...,30.36,32.60
Cooper Tire&Rubber,CTB,29.80,30.17,29.76,30.10,0.23,0.77,"432,190",33.26,20.55,0.42,1.40,18.50,25.21
Copa Holdings Cl A,CPA,128.15,128.80,126.75,128.22,-0.15,-0.12,"374,533",162.83,121.11,3.84,2.99,11.19,-19.92
Core Laboratories,CLB,149.50,149.50,147.03,149.28,-0.32,-0.21,"229,986",221.00,143.14,2.00,1.34,26.75,-21.82
CoreLogic,CLGX,27.19,27.72,27.18,27.69,0.43,1.58,"374,736",36.19,25.49,...,...,51.80,-22.07
CoreSite Realty,COR,35.66,35.76,35.23,35.64,-0.10,-0.28,"39,719",36.39,27.51,1.40,3.93,59.40,10.72
Corning,GLW,20.27,20.76,20.13,20.70,0.36,1.77,"11,428,238",22.37,13.82,0.40,1.93,23.00,16.16
CorpBanca ADS,BCA,18.35,18.40,17.97,18.06,-0.23,-1.26,"739,855",22.30,13.37,0.68,3.78,11.73,-14.61
Corporate Executive Board,CEB,66.27,66.27,65.14,65.96,-0.63,-0.95,"162,846",81.00,59.84,1.05,1.59,263.84,-14.81
Corporate Office Properties Trust,OFC,28.26,28.43,28.14,28.20,-0.09,-0.32,"697,756",29.44,21.48,1.10,3.90,34.85,19.04
Corrections of America,CXW,35.58,35.85,35.39,35.81,0.21,0.59,"349,161",38.13,30.37,2.04,5.70,20.01,11.66
Cosan Cl A,CZZ,12.09,12.26,12.05,12.17,0.09,0.75,"1,069,492",16.29,10.33,0.16,1.28,...,-11.30
Costamare,CMRE,22.63,22.83,22.28,22.57,-0.13,-0.57,"341,637",24.94,15.90,1.12,4.96,19.29,23.54
Cott,COT,7.62,7.64,7.44,7.56,-0.04,-0.53,"734,343",8.74,6.60,0.24,3.17,...,-6.20
Coty Cl A,COTY,18.00,18.16,17.78,17.96,-0.05,-0.28,"350,419",18.95,12.83,...,...,...,17.77
Country Style Cooking Restaurant Chain ADS,CCSC,7.00,7.20,7.00,7.12,...,...,"15,891",14.03,6.44,...,...,23.21,-29.22
Coupons.com,COUP,13.25,13.50,13.03,13.05,-0.18,-1.36,"216,399",33.00,13.03,...,...,...,-56.50
Cousins Properties,CUZ,13.07,13.13,12.97,13.04,-0.08,-0.61,"1,858,423",13.16,9.71,0.30,2.30,50.12,26.60
Covance,CVD,85.50,85.79,84.76,85.11,-0.72,-0.84,"343,677",106.50,79.21,...,...,29.86,-3.35
Covanta Holding,CVA,20.83,21.01,20.83,20.92,0.09,0.43,"868,914",21.89,16.42,0.72,3.44,55.39,17.86
Covidien,COV,88.05,88.90,87.81,88.79,0.35,0.40,"2,066,878",92.68,59.17,1.28,1.44,26.50,30.38
CPFL Energia ADS,CPL,18.59,19.45,18.59,19.24,0.63,3.39,"363,755",19.45,12.80,1.07,5.54,30.70,20.17
Crane,CR,70.85,71.31,70.81,70.95,-0.22,-0.31,"157,419",76.96,56.78,1.32,1.86,19.28,5.50
Crawford Cl A,CRDA,8.31,8.39,8.11,8.35,-0.14,-1.65,"5,498",10.03,6.45,0.28,3.35,9.71,8.58
Crawford Cl B,CRDB,9.50,9.56,9.41,9.47,-0.12,-1.25,"19,996",12.22,7.48,0.20,2.11,11.01,2.49
C.R. Bard,BCR,149.99,150.00,148.26,149.00,-0.88,-0.59,"596,334",154.16,112.94,0.88,0.59,15.02,11.24
Credicorp,BAP,152.48,154.95,151.50,154.88,1.97,1.29,"177,891",163.31,119.68,1.90,1.23,15.90,16.69
Credit Suisse Group,CS,27.90,27.99,27.81,27.93,-0.10,-0.36,"347,957",33.98,26.38,0.79,2.81,...,-10.02
Crescent Point Energy,CPG,40.37,40.51,40.12,40.49,0.14,0.35,"58,518",44.84,33.72,2.53,6.24,77.87,4.25
Crestwood Equity Partners,CEQP,12.64,13.01,12.59,12.98,0.29,2.29,"240,235",15.78,11.41,0.55,4.24,216.33,-6.15
Crestwood Midstream Partners,CMLP,21.39,22.40,21.38,22.35,0.92,4.29,"1,107,279",24.95,20.23,1.64,7.34,...,-10.20
CRH ADS,CRH,23.07,23.19,22.89,23.06,-0.79,-3.31,"628,654",30.06,20.56,0.49,2.14,...,-9.75
Cross Timbers Royalty Trust,CRT,31.36,31.82,31.00,31.25,0.08,0.26,"60,500",38.05,28.00,3.06,9.80,12.15,6.27
Crown Castle International,CCI,78.25,78.67,77.42,78.55,0.21,0.27,"900,474",78.97,67.81,1.40,1.78,201.41,6.97
Crown Holdings,CCK,46.85,47.02,46.58,46.81,-0.20,-0.43,"476,770",51.56,37.29,...,...,22.95,5.03
CryoLife,CRY,10.46,10.54,10.22,10.47,-0.02,-0.19,"177,297",12.14,6.01,0.12,1.15,18.70,-5.59
CSS Industries,CSS,24.89,24.98,24.77,24.85,-0.46,-1.82,"12,255",31.94,21.57,0.60,2.41,12.18,-13.35
CST Brands,CST,34.97,34.97,34.64,34.90,-0.14,-0.40,"255,082",38.66,28.91,0.25,0.72,22.30,-4.96
CSX,CSX,30.61,30.91,30.60,30.87,0.29,0.95,"6,144,964",31.59,24.46,0.64,2.07,17.06,7.30
CTS,CTS,18.02,18.02,17.75,17.88,-0.25,-1.38,"29,250",21.65,13.65,0.16,0.89,39.73,-10.20
CubeSmart,CUBE,18.99,19.03,18.84,18.95,-0.05,-0.26,"1,402,359",19.69,15.06,0.52,2.74,149.92,18.88
Cubic,CUB,45.47,45.47,44.94,45.25,-0.50,-1.09,"98,190",56.92,40.69,0.24,0.53,...,-14.07
Cullen/Frost Bankers,CFR,77.51,78.58,77.31,78.27,0.52,0.67,"238,492",81.02,68.01,2.04,2.61,19.70,5.16
Culp Inc.,CFI,17.62,17.78,17.56,17.70,-0.11,-0.62,"24,172",21.10,17.06,0.20,1.13,12.38,-13.45
Cummins,CMI,144.19,148.03,144.19,147.28,3.66,2.55,"2,305,087",161.03,121.66,3.12,2.12,17.31,4.48
Curtiss-Wright,CW,69.19,69.99,69.09,69.84,0.17,0.24,"191,397",70.33,41.09,0.52,0.74,...,12.23
Cvent,CVT,26.23,26.44,25.91,25.96,-0.37,-1.41,"74,540",46.13,22.42,...,...,1298.00,-28.66
CVR Energy,CVI,48.75,49.00,48.52,48.99,0.29,0.60,"331,697",51.44,33.03,3.00,6.12,18.28,12.80
CVR Partners,UAN,16.00,16.28,15.78,16.15,0.11,0.69,"271,019",21.93,15.11,1.32,8.17,13.80,-1.88
CVR Refining,CVRR,24.47,24.75,24.43,24.70,0.25,1.02,"282,338",28.55,20.16,3.84,15.55,8.66,9.20
CVS Caremark,CVS,79.44,79.76,79.17,79.61,0.08,0.10,"2,544,055",79.76,56.32,1.10,1.38,19.33,11.23
Cyan,CYNI,3.69,3.71,3.54,3.56,-0.13,-3.52,"78,882",10.42,3.18,...,...,...,-32.70
Cypress Energy Partners,CELP,24.93,24.93,24.36,24.72,0.08,0.32,"23,697",26.00,19.55,1.59,6.42,...,16.06
Cypress Sharpridge Investments,CYS,9.28,9.32,9.23,9.29,0.01,0.11,"1,568,412",9.37,6.74,1.28,13.78,7.21,25.37
Cytec Industries,CYT,104.00,104.59,103.76,104.24,-0.25,-0.24,"172,064",109.25,74.29,1.00,0.96,17.17,11.89
Danaher,DHR,76.63,77.35,76.43,77.19,0.55,0.72,"2,452,288",81.14,64.78,0.40,0.52,20.42,-0.01
Dana Holding,DAN,23.64,23.93,23.55,23.85,0.02,0.08,"969,435",24.82,18.06,0.20,0.84,...,21.56
Danaos,DAC,5.54,5.66,5.54,5.65,...,0.06,"10,546",7.75,3.67,...,...,20.93,15.31
Daqo New Energy ADS,DQ,33.40,35.72,33.33,34.68,0.59,1.73,"96,755",56.98,9.02,...,...,...,-4.46
Darden Restaurants,DRI,47.41,47.98,47.27,47.43,-0.10,-0.21,"1,681,484",54.89,43.56,2.20,4.64,21.66,-12.76
Darling Ingredients,DAR,19.50,19.50,19.31,19.46,-0.08,-0.41,"567,041",23.95,18.34,...,...,67.10,-6.80
DaVita HealthCare Partners,DVA,73.49,73.99,73.00,73.72,-0.08,-0.11,"704,548",74.84,52.75,...,...,22.83,16.33
DCP Midstream Partners,DPM,54.83,55.37,54.74,55.22,0.51,0.93,"620,808",57.98,45.02,3.03,5.49,149.24,9.67
DCT Industrial Trust,DCT,8.05,8.13,8.03,8.10,0.01,0.12,"1,972,269",8.26,6.62,0.28,3.46,...,13.60
DDR Corp,DDR,18.04,18.24,17.96,18.22,0.15,0.83,"1,328,382",18.24,14.89,0.62,3.40,589.64,18.54
Dean Foods,DF,16.30,16.34,15.94,16.23,-0.12,-0.73,"1,982,089",19.88,13.59,0.28,1.73,4.17,-5.58
Deckers Outdoor,DECK,93.44,94.05,93.02,93.91,-0.01,-0.01,"322,620",95.00,56.41,...,...,30.10,11.19
Deere,DE,85.80,86.33,85.62,85.87,0.16,0.19,"2,749,324",94.89,80.76,2.40,2.79,9.56,-5.98
Delek Logistics Partners,DKL,39.59,41.66,38.85,41.49,2.34,5.98,"112,848",41.66,28.82,1.90,4.58,16.96,31.09
Delek US Holdings,DK,35.00,35.27,34.78,34.95,-0.08,-0.23,"1,310,079",35.50,19.83,0.60,1.72,25.14,1.57
Delhaize Group ADS,DEG,17.38,17.41,17.26,17.32,-0.30,-1.70,"27,533",19.14,13.66,0.53,3.06,99.37,16.59
Delphi Automotive,DLPH,69.46,70.73,69.46,70.59,0.80,1.15,"1,073,675",71.27,53.07,1.00,1.42,16.97,17.40
Delta Air Lines,DAL,39.62,40.62,39.60,40.52,0.98,2.48,"9,463,656",42.66,18.85,0.36,0.89,3.16,47.51
Deltic Timber,DEL,67.67,67.80,66.41,67.43,-0.40,-0.59,"24,095",69.67,58.05,0.40,0.59,46.50,-0.75
Deluxe Corp.,DLX,59.10,59.26,58.47,59.02,-0.38,-0.64,"341,045",60.52,38.12,1.20,2.03,15.66,13.09
Demand Media,DMD,9.05,9.38,9.03,9.30,0.17,1.86,"309,033",13.45,7.17,...,...,...,-18.64
Demandware,DWRE,56.19,56.75,56.00,56.51,-0.01,-0.02,"194,438",82.23,41.58,...,...,...,-11.87
Denbury Resources,DNR,16.80,16.85,16.62,16.81,-0.01,-0.06,"2,614,042",19.61,15.56,0.25,1.49,31.13,2.31
Deutsche Bank,DB,32.89,33.08,32.83,33.04,-0.06,-0.18,"858,723",51.88,32.52,0.97,2.94,...,-28.06
Devon Energy,DVN,74.35,74.35,73.45,73.85,-0.43,-0.58,"2,611,144",80.63,56.03,0.96,1.30,18.37,19.36
DeVry Education Group,DV,43.46,43.55,43.05,43.47,0.01,0.02,"294,972",47.73,28.00,0.34,0.78,20.90,22.45
DHT Holdings,DHT,7.21,7.34,7.21,7.25,0.03,0.42,"222,613",8.57,3.99,0.08,1.10,...,5.99
Diageo ADS,DEO,118.61,118.90,118.40,118.60,-0.91,-0.76,"339,888",134.08,114.51,2.61,2.20,20.49,-10.44
Diamond Offshore Drilling,DO,43.98,44.15,43.76,44.06,0.15,0.34,"1,055,918",66.34,43.69,...,...,14.45,-22.59
Diamond Resorts International,DRII,24.50,24.60,24.22,24.50,-0.12,-0.49,"226,024",26.33,15.61,...,...,...,32.72
Diamondrock Hospitality,DRH,13.18,13.36,13.07,13.32,0.13,0.99,"1,501,192",13.36,9.52,0.41,3.08,27.75,15.32
Diana Shipping,DSX,10.85,10.97,10.70,10.93,0.04,0.37,"526,439",13.93,8.83,...,...,...,-17.76
Dice Holdings,DHX,8.48,8.53,8.33,8.44,-0.04,-0.47,"323,903",9.30,6.50,...,...,36.70,16.41
Dick's Sporting Goods,DKS,44.28,45.14,43.76,45.04,0.83,1.88,"2,692,704",58.87,41.30,0.50,1.11,16.68,-22.48
Diebold,DBD,37.49,37.55,36.90,37.33,-0.22,-0.59,"370,891",41.45,27.89,1.15,3.08,...,13.09
DigitalGlobe,DGI,29.59,29.87,29.18,29.86,0.20,0.67,"244,147",43.13,26.02,...,...,165.89,-27.44
Digital Realty Trust,DLR,66.50,67.34,66.17,66.94,0.56,0.84,"1,287,491",67.34,43.04,3.32,4.96,33.64,36.28
Dillard's,DDS,110.03,113.57,109.14,113.02,2.79,2.53,"744,773",125.17,75.60,0.24,0.21,15.70,16.26
DineEquity,DIN,84.00,84.59,83.71,84.25,-0.15,-0.18,"56,364",85.74,64.44,3.00,3.56,20.96,0.84
Discover Financial Services,DFS,61.27,62.25,61.14,62.12,0.88,1.44,"2,272,320",64.44,46.93,0.96,1.55,12.18,11.03
Dolby Laboratories Cl A,DLB,46.09,46.48,45.91,46.09,-0.04,-0.09,"337,830",46.48,31.19,...,...,22.82,19.53
Dollar General,DG,63.39,64.03,63.11,63.76,0.17,0.27,"5,787,744",65.99,53.00,...,...,19.74,5.70
Dominion Diamond,DDC,13.76,13.94,13.74,13.79,0.07,0.51,"290,238",15.22,11.81,...,...,...,-3.97
Dominion Resources Black Warrior Trust,DOM,6.85,7.03,6.75,7.00,0.17,2.49,"169,630",11.12,4.64,0.78,11.09,10.29,25.68
Dominion Resources Un,DCUC,50.34,50.85,50.34,50.84,0.28,0.55,"83,743",54.00,48.69,...,...,...,-2.35
Dominion Resources Un Series A,DCUA,56.95,56.96,56.83,56.96,0.11,0.19,"54,100",59.16,50.53,3.06,5.38,...,5.25
Dominion Resources (Virginia),D,69.55,69.71,69.16,69.65,0.06,0.09,"1,218,648",73.75,56.58,2.40,3.45,26.38,7.67
Domino's Pizza,DPZ,75.04,75.15,74.41,74.66,-0.49,-0.65,"252,284",80.61,60.86,1.00,1.34,26.66,7.19
Domtar,UFS,37.75,37.88,35.91,36.34,-1.49,-3.94,"1,382,019",57.87,32.51,1.50,4.13,13.77,-22.96
Donaldson,DCI,40.35,40.87,40.16,40.75,0.21,0.52,"305,476",43.74,34.60,0.66,1.62,23.02,-6.24
Doral Financial,DRL,7.25,9.29,6.81,8.29,0.90,12.18,"2,663,182",24.74,1.87,...,...,...,-47.06
Dorian LPG,LPG,19.67,19.76,19.55,19.67,-0.11,-0.56,"47,145",24.93,17.95,...,...,...,5.53
Douglas Dynamics,PLOW,19.48,19.49,19.28,19.40,-0.07,-0.36,"76,518",19.60,14.00,0.87,4.48,17.17,15.34
Douglas Emmett,DEI,28.73,28.87,28.47,28.79,0.12,0.42,"364,001",29.56,22.27,0.80,2.78,89.97,23.62
Dover,DOV,89.45,90.58,89.31,90.26,0.80,0.89,"694,168",91.84,67.76,1.60,1.77,18.23,12.71
Dover Downs Gaming&Entertainment,DDE,1.11,1.15,1.11,1.12,...,...,"26,959",1.87,1.08,0.08,7.14,...,-24.32
Dover Motorsports,DVD,2.72,2.72,2.71,2.72,-0.02,-0.73,"1,395",3.08,2.05,0.05,1.84,54.40,8.37
Dow Chemical,DOW,53.01,53.40,52.97,53.30,0.22,0.41,"3,670,352",54.28,36.82,1.48,2.78,18.77,20.05
DRDGOLD ADS,DRD,2.64,2.64,2.57,2.60,-0.06,-2.26,"54,672",6.47,2.39,0.14,5.41,...,-29.54
Dresser-Rand Group,DRC,66.61,68.23,65.80,68.20,1.19,1.78,"908,122",71.91,51.46,...,...,40.60,14.37
Drew Industries,DW,43.12,43.30,42.76,43.20,-0.07,-0.16,"80,119",55.35,40.38,...,...,16.88,-15.63
D.R. Horton,DHI,21.80,22.07,21.67,21.89,0.07,0.32,"5,199,048",25.23,17.52,0.25,1.14,14.31,-1.93
Dril-Quip,DRQ,99.33,100.40,98.68,100.20,0.58,0.58,"152,002",121.07,94.99,...,...,22.47,-8.85
Dr Pepper Snapple Group,DPS,61.20,61.20,60.79,60.92,-0.22,-0.36,"866,446",61.92,43.18,1.64,2.69,16.69,25.04
Dr. Reddy's Laboratories ADS,RDY,47.15,47.81,47.15,47.54,0.90,1.93,"247,422",47.93,31.32,...,...,21.30,15.87
DST Systems,DST,93.04,93.24,92.11,92.44,-0.90,-0.96,"193,863",99.89,70.17,1.20,1.30,9.23,1.87
DSW Cl A,DSW,28.13,28.49,27.93,28.21,-0.12,-0.42,"1,258,794",47.55,23.45,0.75,2.66,16.35,-33.98
DTE Energy,DTE,77.15,77.42,76.68,77.36,0.12,0.16,"669,310",79.45,64.45,2.76,3.57,17.70,16.52
Ducommun,DCO,29.09,29.31,28.76,29.23,0.02,0.07,"60,638",32.00,22.45,...,...,28.11,-1.95
Duke Energy,DUK,72.58,72.85,72.31,72.76,-0.12,-0.16,"2,070,656",75.13,64.16,3.18,4.37,23.40,5.43
Duke Realty,DRE,18.56,18.73,18.47,18.72,0.10,0.54,"1,829,830",18.73,14.14,0.68,3.63,42.25,24.47
Dun&Bradstreet,DNB,118.84,119.43,117.98,118.89,-0.08,-0.07,"245,649",124.59,94.29,1.76,1.48,15.83,-3.14
Dupont Fabros Technology,DFT,28.46,28.90,28.27,28.75,0.27,0.95,"573,106",29.19,21.72,1.40,4.87,44.92,16.35
Dycom Industries,DY,29.28,29.65,29.11,29.33,-0.18,-0.61,"234,779",34.00,23.69,...,...,25.73,5.54
Dynegy,DYN,29.35,29.69,29.18,29.64,0.26,0.88,"565,302",36.57,18.11,...,...,...,37.73
Dynegy WT,DYN%,3.16,3.33,3.16,3.33,0.11,3.42,"1,391",5.36,0.76,...,...,...,144.85
Dynex Capital,DX,8.58,8.60,8.56,8.57,-0.03,-0.35,"104,720",9.14,7.81,1.00,11.67,857.00,7.13
Eagle Materials,EXP,97.65,98.65,97.53,98.35,0.24,0.24,"373,553",98.65,63.53,0.40,0.41,36.86,27.02
EastGroup Properties,EGP,64.90,65.51,64.45,65.44,0.39,0.60,"263,763",66.24,54.98,2.16,3.30,58.26,12.96
Eastman Chemical,EMN,81.63,82.16,81.33,82.02,0.46,0.56,"962,110",90.55,72.62,1.40,1.71,10.57,1.64
Eastman Kodak,KODK,21.98,22.25,21.83,22.21,0.19,0.86,"99,050",37.73,19.25,...,...,0.51,-36.01
Eastman Kodak Co. WT 125%,KODK%,6.76,7.28,6.76,7.28,0.13,1.82,"2,242",21.66,5.70,...,...,...,-63.08
Eastman Kodak WT,KODK%A,5.10,6.05,5.10,6.05,0.55,10.00,"3,534",20.62,4.01,...,...,...,-67.17
Eaton,ETN,68.92,70.52,68.92,70.40,1.20,1.73,"3,667,502",79.98,62.89,1.52,2.16,20.89,-7.51
Eaton Vance,EV,36.61,37.81,36.60,37.79,1.02,2.77,"901,829",43.81,34.86,0.88,2.33,20.21,-11.68
ECA Marcellus Trust I,ECT,6.67,6.74,6.60,6.64,-0.08,-1.19,"205,964",10.46,6.60,1.12,16.93,4.25,-13.43
Eclipse Resources,ECR,19.00,19.01,18.28,18.59,-0.24,-1.27,"392,586",27.18,18.23,...,...,...,-27.81
Ecolab,ECL,113.56,114.11,113.48,113.69,-0.13,-0.11,"673,296",114.11,90.18,1.10,0.97,31.15,9.03
E-Commerce China Dangdang ADS,DANG,14.81,15.07,14.65,14.84,-0.02,-0.13,"1,954,976",19.05,7.68,...,...,...,55.39
Ecopetrol ADS,EC,33.63,33.92,33.41,33.81,0.40,1.20,"510,492",49.45,32.88,...,...,10.89,-12.07
Edison International,EIX,58.39,58.83,58.32,58.74,0.32,0.55,"1,359,009",58.83,44.26,1.42,2.42,13.23,26.87
Education Realty Trust,EDR,10.82,10.90,10.74,10.87,0.04,0.37,"791,572",11.30,8.30,0.48,4.42,...,23.24
Edwards Lifesciences,EW,97.58,98.34,96.64,97.57,-0.40,-0.41,"889,811",98.34,60.62,...,...,13.68,48.37
E-House (China) Holdings ADS,EJ,11.70,12.33,11.14,11.85,0.26,2.24,"4,410,842",17.28,5.92,0.20,1.69,26.64,-21.42
E.I. DuPont de Nemours,DD,66.09,66.40,66.04,66.22,-0.07,-0.11,"2,451,804",69.75,56.09,1.88,2.84,20.68,1.92
Eldorado Gold,EGO,8.22,8.31,8.10,8.17,-0.04,-0.49,"2,094,494",9.59,5.35,0.02,0.23,...,43.59
Eli Lilly,LLY,61.94,62.24,61.67,62.01,-0.15,-0.24,"2,068,893",65.70,47.53,1.96,3.16,19.69,21.59
ELLIE MAE,ELLI,35.70,35.70,34.52,34.85,-0.99,-2.76,"261,762",35.97,22.46,...,...,91.71,29.70
Ellington Financial,EFC,24.95,25.05,24.89,25.00,0.04,0.16,"123,321",25.05,21.12,3.08,12.32,9.19,10.28
Ellington Residential Mortgage REIT,EARN,17.28,17.34,17.17,17.27,0.02,0.12,"39,866",17.91,13.89,2.20,12.74,...,12.29
El Paso Electric,EE,37.51,37.57,37.03,37.40,-0.14,-0.37,"84,130",40.43,32.26,1.12,2.99,17.40,6.52
El Paso Pipeline Partners,EPB,42.44,42.93,42.37,42.58,0.08,0.19,"1,390,018",43.15,28.87,2.60,6.11,24.47,18.28
Embotelladora Andina (Series A) ADS,AKOA,16.86,17.05,16.79,17.05,-0.15,-0.87,"886",26.41,16.59,0.51,3.02,16.19,-18.96
Embotelladora Andina (Series B) ADS,AKOB,20.43,20.63,20.00,20.21,-0.47,-2.27,"47,743",35.86,19.75,0.57,2.80,19.19,-28.43
